case_name,base_cycle,target_cycle,method,mean_normalized_error_percent,ratcheting_normalized_error_percent,peak_normalized_error_percent,strict_1pct_accept,relaxed_2pct_accept,relaxed_5pct_accept,drift_direction_ok,finite
B1_stress_m150_to_250,20,200000,linear_last_2,179702.52532942643,179702.52532942643,290206.70541097433,False,False,False,True,True
B1_stress_m150_to_250,20,200000,linear_last_20,711160.7704381241,711160.7704381236,1121210.4793672038,False,False,False,True,True
B1_stress_m150_to_250,20,200000,linear_last_5,189303.13776691243,189303.1377669131,311378.2668668199,False,False,False,True,True
B1_stress_m150_to_250,20,250000,least_squares_last_100,569017.3611735973,569017.3611736059,951136.6562750012,False,False,False,True,True
B1_stress_m150_to_250,20,250000,least_squares_last_20,569017.3611735973,569017.3611736059,951136.6562750012,False,False,False,True,True
B1_stress_m150_to_250,20,250000,least_squares_last_50,569017.3611735973,569017.3611736059,951136.6562750012,False,False,False,True,True
B1_stress_m150_to_250,20,250000,linear_last_10,262036.1993906986,262036.1993906986,446600.9669763402,False,False,False,True,True
B1_stress_m150_to_250,20,250000,linear_last_2,224672.078317522,224672.078317522,362808.7375023885,False,False,False,True,True
B1_stress_m150_to_250,20,250000,linear_last_20,889005.9555773248,889005.9555773241,1401580.765692408,False,False,False,True,True
B1_stress_m150_to_250,20,250000,linear_last_5,236673.0438559517,236673.0438559524,389273.6303496703,False,False,False,True,True
B1_stress_m150_to_250,50,100,least_squares_last_100,33.79208235474579,33.79208235474239,57.82437843270389,False,False,False,True,True
B1_stress_m150_to_250,50,100,least_squares_last_20,11.392454428892547,11.3924544288893,17.521440031593066,False,False,False,True,True
B1_stress_m150_to_250,50,100,least_squares_last_50,33.79208235474579,33.79208235474239,57.82437843270389,False,False,False,True,True
B1_stress_m150_to_250,50,100,linear_last_10,8.772762486748833,8.772762486745957,13.155353176886926,False,False,False,True,True
B1_stress_m150_to_250,50,100,linear_last_2,7.0051252905711205,7.005125290429476,10.317200788234356,False,False,False,True,True
B1_stress_m150_to_250,50,100,linear_last_20,11.487373228505936,11.487373228495702,17.703031330913703,False,False,False,True,True
B1_stress_m150_to_250,50,100,linear_last_5,7.633682496363779,7.63368249632561,11.314846149970649,False,False,False,True,True
B1_stress_m150_to_250,50,500,least_squares_last_100,423.0947828270337,423.0947828270256,686.7367613906431,False,False,False,True,True
B1_stress_m150_to_250,50,500,least_squares_last_20,208.4906351124418,208.49063511243529,300.6063410731982,False,False,False,True,True
B1_stress_m150_to_250,50,500,least_squares_last_50,423.0947828270337,423.0947828270256,686.7367613906431,False,False,False,True,True
B1_stress_m150_to_250,50,500,linear_last_10,183.3921487277793,183.39214872777623,258.77616642013385,False,False,False,True,True
B1_stress_m150_to_250,50,500,linear_last_2,166.45694448197602,166.4569444806432,231.58467571916867,False,False,False,True,True
B1_stress_m150_to_250,50,500,linear_last_20,209.4000237933857,209.40002379331196,302.3461130976302,False,False,False,True,True
B1_stress_m150_to_250,50,500,linear_last_5,172.47896341396506,172.47896341362363,241.1428180814225,False,False,False,True,True
B1_stress_m150_to_250,50,1000,least_squares_last_100,922.9752867582664,922.9752867582564,1488.392353203829,False,False,False,True,True
B1_stress_m150_to_250,50,1000,least_squares_last_20,469.7738269699943,469.77382696998666,672.9613747249982,False,False,False,True,True
B1_stress_m150_to_250,50,1000,least_squares_last_50,922.9752867582664,922.9752867582564,1488.392353203829,False,False,False,True,True
B1_stress_m150_to_250,50,1000,linear_last_10,416.7707942274366,416.7707942274366,584.6243299015251,False,False,False,True,True
B1_stress_m150_to_250,50,1000,linear_last_2,381.0069967065338,381.0069967037257,527.2012865413117,False,False,False,True,True
B1_stress_m150_to_250,50,1000,linear_last_20,471.69427576890007,471.69427576875074,676.6354286963126,False,False,False,True,True
B1_stress_m150_to_250,50,1000,linear_last_5,393.72430809084,393.7243080901253,547.3861903167904,False,False,False,True,True
B1_stress_m150_to_250,50,5000,least_squares_last_100,4922.007256131447,4922.00725613139,7901.070923496807,False,False,False,True,True
B1_stress_m150_to_250,50,5000,least_squares_last_20,2560.5849290765022,2560.584929076461,3652.23880443928,False,False,False,True,True
B1_stress_m150_to_250,50,5000,least_squares_last_50,4922.007256131447,4922.00725613139,7901.070923496807,False,False,False,True,True
B1_stress_m150_to_250,50,5000,linear_last_10,2284.4107416006427,2284.4107416006404,3191.9554901497427,False,False,False,True,True
B1_stress_m150_to_250,50,5000,linear_last_2,2098.0622024640143,2098.0622024493805,2892.750680126398,False,False,False,True,True
B1_stress_m150_to_250,50,5000,linear_last_20,2570.5914958554804,2570.591495854701,3671.3825933465782,False,False,False,True,True
B1_stress_m150_to_250,50,5000,linear_last_5,2164.326205799397,2164.32620579567,2997.9248392456966,False,False,False,True,True
B1_stress_m150_to_250,50,10000,least_squares_last_100,9922.322475801606,9922.322475801491,15918.454389258866,False,False,False,True,True
B1_stress_m150_to_250,50,10000,least_squares_last_20,5175.616178555988,5175.616178555907,7377.856655255761,False,False,False,True,True
B1_stress_m150_to_250,50,10000,least_squares_last_50,9922.322475801606,9922.322475801491,15918.454389258866,False,False,False,True,True
B1_stress_m150_to_250,50,10000,linear_last_10,4620.4771253637255,4620.477125363722,6452.63896699072,False,False,False,True,True
B1_stress_m150_to_250,50,10000,linear_last_2,4245.897036885646,4245.897036856231,5851.20594942658,False,False,False,True,True
B1_stress_m150_to_250,50,10000,linear_last_20,5195.730426227572,5195.730426226005,7416.337676764838,False,False,False,True,True
B1_stress_m150_to_250,50,10000,linear_last_5,4379.09462645237,4379.094626444879,6062.617028960882,False,False,False,True,True
B1_stress_m150_to_250,50,50000,least_squares_last_100,49949.47829011872,49949.47829011817,80082.19571323185,False,False,False,True,True
